group,localized_name,name,order,stack_size,subgroup,type
production,Accumulator,accumulator,e[accumulator]-a[accumulator],50,energy,item
intermediate-products,Advanced circuit,advanced-circuit,f[advanced-circuit],200,intermediate-product,item
logistics,Arithmetic combinator,arithmetic-combinator,c[combinators]-a[arithmetic-combinator],50,circuit-network,item
combat,Artillery shell,artillery-shell,d[explosive-cannon-shell]-d[artillery],1,ammo,ammo
combat,Artillery targeting remote,artillery-targeting-remote,b[turret]-d[artillery-turret]-b[remote],1,defensive-structure,capsule
combat,Artillery turret,artillery-turret,b[turret]-d[artillery-turret]-a[turret],10,defensive-structure,item
logistics,Artillery wagon,artillery-wagon,a[train-system]-i[artillery-wagon],5,train-transport,item-with-entity-data
combat,Artillery cannon,artillery-wagon-cannon,z[artillery]-a[cannon],1,gun,gun
production,Assembling machine 1,assembling-machine-1,a[assembling-machine-1],50,production-machine,item
production,Assembling machine 2,assembling-machine-2,b[assembling-machine-2],50,production-machine,item
production,Assembling machine 3,assembling-machine-3,c[assembling-machine-3],50,production-machine,item
combat,Atomic bomb,atomic-bomb,d[rocket-launcher]-c[atomic-bomb],10,ammo,ammo
intermediate-products,Automation science pack,automation-science-pack,a[automation-science-pack],200,science-pack,tool
intermediate-products,Battery,battery,h[battery],200,raw-material,item
combat,Personal battery,battery-equipment,b[battery]-a[battery-equipment],20,equipment,item
combat,Personal battery MK2,battery-mk2-equipment,b[battery]-b[battery-equipment-mk2],20,equipment,item
production,Beacon,beacon,a[beacon],10,module,item
combat,Belt immunity equipment,belt-immunity-equipment,c[belt-immunity]-a[belt-immunity],20,equipment,item
logistics,Big electric pole,big-electric-pole,a[energy]-c[big-electric-pole],50,energy-pipe-distribution,item
production,Blueprint,blueprint,c[automated-construction]-a[blueprint],1,tool,blueprint
production,Blueprint book,blueprint-book,c[automated-construction]-d[blueprint-book],1,tool,blueprint-book
production,Boiler,boiler,b[steam-power]-a[boiler],50,energy,item
other,Burner generator,burner-generator,t[item]-o[burner-generator],10,other,item
logistics,Burner inserter,burner-inserter,a[burner-inserter],50,inserter,item
production,Burner mining drill,burner-mining-drill,a[items]-a[burner-mining-drill],50,extraction-machine,item
combat,Cannon shell,cannon-shell,d[cannon-shell]-a[basic],200,ammo,ammo
logistics,Car,car,b[personal-transport]-a[car],1,transport,item-with-entity-data
logistics,Cargo wagon,cargo-wagon,a[train-system]-g[cargo-wagon],5,train-transport,item-with-entity-data
production,Centrifuge,centrifuge,g[centrifuge],50,production-machine,item
production,Chemical plant,chemical-plant,e[chemical-plant],10,production-machine,item
intermediate-products,Chemical science pack,chemical-science-pack,d[chemical-science-pack],200,science-pack,tool
logistics,Cliff explosives,cliff-explosives,d[cliff-explosives],20,terrain,capsule
combat,Cluster grenade,cluster-grenade,a[grenade]-b[cluster],100,capsule,capsule
intermediate-products,Coal,coal,b[coal],50,raw-resource,item
intermediate-products,Coin,coin,y,100000,science-pack,item
combat,Combat shotgun,combat-shotgun,b[shotgun]-a[combat],5,gun,gun
logistics,Concrete,concrete,b[concrete]-a[plain],100,terrain,item
logistics,Constant combinator,constant-combinator,c[combinators]-c[constant-combinator],50,circuit-network,item
logistics,Construction robot,construction-robot,a[robot]-b[construction-robot],50,logistic-network,item
intermediate-products,Copper cable,copper-cable,a[copper-cable],200,intermediate-product,item
intermediate-products,Copper ore,copper-ore,f[copper-ore],50,raw-resource,item
intermediate-products,Copper plate,copper-plate,c[copper-plate],100,raw-material,item
other,Crude oil,crude-oil,a[fluid]-b[crude-oil],other,fluid
intermediate-products,<dummy name>,crude-oil-barrel,b[crude-oil-barrel],10,barrel,item
logistics,Decider combinator,decider-combinator,c[combinators]-b[decider-combinator],50,circuit-network,item
production,Deconstruction planner,deconstruction-planner,c[automated-construction]-b[deconstruction-planner],1,tool,deconstruction-item
combat,Defender capsule,defender-capsule,d[defender-capsule],100,capsule,capsule
combat,Destroyer capsule,destroyer-capsule,f[destroyer-capsule],100,capsule,capsule
combat,Discharge defense,discharge-defense-equipment,b[active-defense]-b[discharge-defense-equipment]-a[equipment],20,military-equipment,item
combat,Discharge defense remote,discharge-defense-remote,b[active-defense]-b[discharge-defense-equipment]-b[remote],1,military-equipment,capsule
combat,Distractor capsule,distractor-capsule,e[defender-capsule],100,capsule,capsule
production,dummy-steel-axe,a[mining]-b[steel-axe],1,tool,mining-tool
production,Efficiency module,effectivity-module,c[effectivity]-a[effectivity-module-1],50,module,module
production,Efficiency module 2,effectivity-module-2,c[effectivity]-b[effectivity-module-2],50,module,module
production,Efficiency module 3,effectivity-module-3,c[effectivity]-c[effectivity-module-3],50,module,module
other,Electric energy interface,electric-energy-interface,a[electric-energy-interface]-b[electric-energy-interface],50,other,item
intermediate-products,Electric engine unit,electric-engine-unit,i[electric-engine-unit],50,intermediate-product,item
production,Electric furnace,electric-furnace,c[electric-furnace],50,smelting-machine,item
production,Electric mining drill,electric-mining-drill,a[items]-b[electric-mining-drill],50,extraction-machine,item
intermediate-products,Electronic circuit,electronic-circuit,e[electronic-circuit],200,intermediate-product,item
intermediate-products,Empty barrel,empty-barrel,d[empty-barrel],10,intermediate-product,item
combat,Energy shield,energy-shield-equipment,a[shield]-a[energy-shield-equipment],20,military-equipment,item
combat,Energy shield MK2,energy-shield-mk2-equipment,a[shield]-b[energy-shield-equipment-mk2],20,military-equipment,item
intermediate-products,Engine unit,engine-unit,h[engine-unit],50,intermediate-product,item
combat,Exoskeleton,exoskeleton-equipment,d[exoskeleton]-a[exoskeleton-equipment],20,equipment,item
combat,Explosive cannon shell,explosive-cannon-shell,d[cannon-shell]-c[explosive],200,ammo,ammo
combat,Explosive rocket,explosive-rocket,d[rocket-launcher]-b[explosive],200,ammo,ammo
combat,Explosive uranium cannon shell,explosive-uranium-cannon-shell,d[explosive-cannon-shell]-c[uranium],200,ammo,ammo
intermediate-products,Explosives,explosives,j[explosives],50,raw-material,item
logistics,Express loader,express-loader,d[loader]-c[express-loader],50,belt,item
logistics,Express splitter,express-splitter,c[splitter]-c[express-splitter],50,belt,item
logistics,Express transport belt,express-transport-belt,a[transport-belt]-c[express-transport-belt],100,belt,item
logistics,Express underground belt,express-underground-belt,b[underground-belt]-c[express-underground-belt],50,belt,item
logistics,Fast inserter,fast-inserter,d[fast-inserter],50,inserter,item
logistics,Fast loader,fast-loader,d[loader]-b[fast-loader],50,belt,item
logistics,Fast splitter,fast-splitter,c[splitter]-b[fast-splitter],50,belt,item
logistics,Fast transport belt,fast-transport-belt,a[transport-belt]-b[fast-transport-belt],100,belt,item
logistics,Fast underground belt,fast-underground-belt,b[underground-belt]-b[fast-underground-belt],50,belt,item
logistics,Filter inserter,filter-inserter,e[filter-inserter],50,inserter,item
combat,Firearm magazine,firearm-magazine,a[basic-clips]-a[firearm-magazine],200,ammo,ammo
