TerrainName	TerrainNumber	AltitudeName	AltitudeNumber	Allowed
Base	15	Surfaceair	1	1
Bridge	7	Surfaceair	1	1
Chasm	12	Surfaceair	1	1
City	10	Surfaceair	1	1
Desert	8	Surfaceair	1	1
Forest	4	Surfaceair	1	1
Harbor	2	Surfaceair	1	1
Medical	5	Surfaceair	1	1
Mountain	3	Surfaceair	1	1
Ocean	14	Surfaceair	1	1
Plain	1	Surfaceair	1	1
Reef	11	Surfaceair	1	1
Road	6	Surfaceair	1	1
Swamp	9	Surfaceair	1	1
Void	16	Surfaceair	1	1
Water	13	Surfaceair	1	1
Base	15	Underground	3	0
Bridge	7	Underground	3	1
Chasm	12	Underground	3	1
City	10	Underground	3	0
Desert	8	Underground	3	1
Forest	4	Underground	3	1
Harbor	2	Underground	3	0
Medical	5	Underground	3	0
Mountain	3	Underground	3	1
Ocean	14	Underground	3	0
Plain	1	Underground	3	1
Reef	11	Underground	3	0
Road	6	Underground	3	1
Swamp	9	Underground	3	1
Void	16	Underground	3	0
Water	13	Underground	3	0
Base	15	Underwater	2	0
Bridge	7	Underwater	2	1
Chasm	12	Underwater	2	0
City	10	Underwater	2	0
Desert	8	Underwater	2	0
Forest	4	Underwater	2	0
Harbor	2	Underwater	2	1
Medical	5	Underwater	2	0
Mountain	3	Underwater	2	0
Ocean	14	Underwater	2	1
Plain	1	Underwater	2	0
Reef	11	Underwater	2	0
Road	6	Underwater	2	0
Swamp	9	Underwater	2	0
Void	16	Underwater	2	0
Water	13	Underwater	2	1
