UnitRace	UnitName	UnitNumber	DefenderUnittypeName	DefenderUnittypeNumber	DefenderAltitudeName	DefenderAltitudeNumber	Strength	Armorpiercing
Khraleans	Infected Marine	1	Aquatic	4	Underwater	2	0	0
Khraleans	Underling	2	Aquatic	4	Underwater	2	0	0
Khraleans	Borfly	3	Aquatic	4	Underwater	2	0	0
Khraleans	Salamander	4	Aquatic	4	Underwater	2	4	0
Khraleans	Infector	5	Aquatic	4	Underwater	2	0	0
Khraleans	Swarmer	6	Aquatic	4	Underwater	2	6	0
Khraleans	Garuda	7	Aquatic	4	Underwater	2	3	0
Khraleans	Kraken	8	Aquatic	4	Underwater	2	6	0
Khraleans	Pinzer	9	Aquatic	4	Underwater	2	2	0
Khraleans	Wyrm	10	Aquatic	4	Underwater	2	2	0
Khraleans	Leviathan	11	Aquatic	4	Underwater	2	3	0
Sapiens	Mecha II	12	Aquatic	4	Underwater	2	0	0
Sapiens	Marine	13	Aquatic	4	Underwater	2	0	0
Sapiens	Engineer	14	Aquatic	4	Underwater	2	0	0
Sapiens	Marauder	16	Aquatic	4	Underwater	2	0	0
Sapiens	Bopper	17	Aquatic	4	Underwater	2	0	0
Sapiens	Tank	18	Aquatic	4	Underwater	2	1	0
Sapiens	Submarine	19	Aquatic	4	Underwater	2	8	0
Sapiens	Helicopter	20	Aquatic	4	Underwater	2	3	0
Sapiens	Battery	21	Aquatic	4	Underwater	2	2	0
Sapiens	Destroyer	22	Aquatic	4	Underwater	2	7	0
Titans	Cyber Underling	23	Aquatic	4	Underwater	2	0	0
Titans	Mecha	24	Aquatic	4	Underwater	2	0	0
Titans	Assimilator	25	Aquatic	4	Underwater	2	0	0
Titans	Speeder	26	Aquatic	4	Underwater	2	0	0
Titans	Mantisse	27	Aquatic	4	Underwater	2	3	0
Titans	Guardian	28	Aquatic	4	Underwater	2	0	0
Titans	Eclipse	29	Aquatic	4	Underwater	2	0	0
Titans	Skimmer	30	Aquatic	4	Underwater	2	9	0
Titans	Plasma Tank	31	Aquatic	4	Underwater	2	3	0
Titans	Walker	32	Aquatic	4	Underwater	2	2	0
Titans	Hydronaut	33	Aquatic	4	Underwater	2	4	0
Khraleans	Infected Marine	1	Light Ground	1	Surfaceair	1	7	0
Khraleans	Infected Marine	1	Heavy Ground	2	Surfaceair	1	4	0
Khraleans	Infected Marine	1	Aerial	3	Surfaceair	1	4	0
Khraleans	Infected Marine	1	Aquatic	4	Surfaceair	1	2	0
Khraleans	Infected Marine	1	Amphibian	5	Surfaceair	1	7	0
Khraleans	Underling	2	Light Ground	1	Surfaceair	1	6	0
Khraleans	Underling	2	Heavy Ground	2	Surfaceair	1	3	0
Khraleans	Underling	2	Aerial	3	Surfaceair	1	0	0
Khraleans	Underling	2	Aquatic	4	Surfaceair	1	2	0
Khraleans	Underling	2	Amphibian	5	Surfaceair	1	6	0
Khraleans	Borfly	3	Light Ground	1	Surfaceair	1	4	0
Khraleans	Borfly	3	Heavy Ground	2	Surfaceair	1	6	0.3
Khraleans	Borfly	3	Aerial	3	Surfaceair	1	1	0.3
Khraleans	Borfly	3	Aquatic	4	Surfaceair	1	4	0.5
Khraleans	Borfly	3	Amphibian	5	Surfaceair	1	4	0.25
Khraleans	Salamander	4	Light Ground	1	Surfaceair	1	6	0.25
Khraleans	Salamander	4	Heavy Ground	2	Surfaceair	1	4	0
Khraleans	Salamander	4	Aerial	3	Surfaceair	1	3	0
Khraleans	Salamander	4	Aquatic	4	Surfaceair	1	5	0.3
Khraleans	Salamander	4	Amphibian	5	Surfaceair	1	6	0
Khraleans	Infector	5	Light Ground	1	Surfaceair	1	0	0
Khraleans	Infector	5	Heavy Ground	2	Surfaceair	1	0	0
Khraleans	Infector	5	Aerial	3	Surfaceair	1	0	0
Khraleans	Infector	5	Aquatic	4	Surfaceair	1	0	0
Khraleans	Infector	5	Amphibian	5	Surfaceair	1	0	0
Khraleans	Swarmer	6	Light Ground	1	Surfaceair	1	8	0
Khraleans	Swarmer	6	Heavy Ground	2	Surfaceair	1	4	0
Khraleans	Swarmer	6	Aerial	3	Surfaceair	1	3	0
Khraleans	Swarmer	6	Aquatic	4	Surfaceair	1	1	0
Khraleans	Swarmer	6	Amphibian	5	Surfaceair	1	7	0
Khraleans	Garuda	7	Light Ground	1	Surfaceair	1	7	0
Khraleans	Garuda	7	Heavy Ground	2	Surfaceair	1	8	0
Khraleans	Garuda	7	Aerial	3	Surfaceair	1	9	0
Khraleans	Garuda	7	Aquatic	4	Surfaceair	1	8	0
Khraleans	Garuda	7	Amphibian	5	Surfaceair	1	7	0
Khraleans	Kraken	8	Light Ground	1	Surfaceair	1	6	0.15
Khraleans	Kraken	8	Heavy Ground	2	Surfaceair	1	6	0.3
Khraleans	Kraken	8	Aerial	3	Surfaceair	1	0	0
Khraleans	Kraken	8	Aquatic	4	Surfaceair	1	6	0.6
Khraleans	Kraken	8	Amphibian	5	Surfaceair	1	6	0.15
Khraleans	Pinzer	9	Light Ground	1	Surfaceair	1	12	0
Khraleans	Pinzer	9	Heavy Ground	2	Surfaceair	1	10	0
Khraleans	Pinzer	9	Aerial	3	Surfaceair	1	3	0
Khraleans	Pinzer	9	Aquatic	4	Surfaceair	1	10	0
Khraleans	Pinzer	9	Amphibian	5	Surfaceair	1	12	0
Khraleans	Wyrm	10	Light Ground	1	Surfaceair	1	10	0
Khraleans	Wyrm	10	Heavy Ground	2	Surfaceair	1	9	0
Khraleans	Wyrm	10	Aerial	3	Surfaceair	1	12	0
Khraleans	Wyrm	10	Aquatic	4	Surfaceair	1	10	0
Khraleans	Wyrm	10	Amphibian	5	Surfaceair	1	10	0
Khraleans	Leviathan	11	Light Ground	1	Surfaceair	1	10	0
Khraleans	Leviathan	11	Heavy Ground	2	Surfaceair	1	10	0
Khraleans	Leviathan	11	Aerial	3	Surfaceair	1	9	0
Khraleans	Leviathan	11	Aquatic	4	Surfaceair	1	12	0
Khraleans	Leviathan	11	Amphibian	5	Surfaceair	1	10	0
Sapiens	Mecha II	12	Light Ground	1	Surfaceair	1	7	0
Sapiens	Mecha II	12	Heavy Ground	2	Surfaceair	1	4	0
Sapiens	Mecha II	12	Aerial	3	Surfaceair	1	4	0
Sapiens	Mecha II	12	Aquatic	4	Surfaceair	1	2	0
Sapiens	Mecha II	12	Amphibian	5	Surfaceair	1	7	0
Sapiens	Marine	13	Light Ground	1	Surfaceair	1	6	0
Sapiens	Marine	13	Heavy Ground	2	Surfaceair	1	3	0
Sapiens	Marine	13	Aerial	3	Surfaceair	1	3	0
Sapiens	Marine	13	Aquatic	4	Surfaceair	1	2	0
Sapiens	Marine	13	Amphibian	5	Surfaceair	1	6	0
Sapiens	Engineer	14	Light Ground	1	Surfaceair	1	0	0
Sapiens	Engineer	14	Heavy Ground	2	Surfaceair	1	0	0
Sapiens	Engineer	14	Aerial	3	Surfaceair	1	0	0
Sapiens	Engineer	14	Aquatic	4	Surfaceair	1	0	0
Sapiens	Engineer	14	Amphibian	5	Surfaceair	1	0	0
Sapiens	Fuze	15	Light Ground	1	Surfaceair	1	5	0.25
Sapiens	Fuze	15	Heavy Ground	2	Surfaceair	1	4	0
Sapiens	Fuze	15	Aerial	3	Surfaceair	1	1	0
Sapiens	Fuze	15	Aquatic	4	Surfaceair	1	4	0.2
Sapiens	Fuze	15	Aquatic	4	Underwater	2	3	0
Sapiens	Fuze	15	Amphibian	5	Surfaceair	1	6	0
Sapiens	Marauder	16	Light Ground	1	Surfaceair	1	8	0
Sapiens	Marauder	16	Heavy Ground	2	Surfaceair	1	4	0
Sapiens	Marauder	16	Aerial	3	Surfaceair	1	4	0
Sapiens	Marauder	16	Aquatic	4	Surfaceair	1	4	0
Sapiens	Marauder	16	Amphibian	5	Surfaceair	1	8	0
Sapiens	Bopper	17	Light Ground	1	Surfaceair	1	3	0
Sapiens	Bopper	17	Heavy Ground	2	Surfaceair	1	5	0.25
Sapiens	Bopper	17	Aerial	3	Surfaceair	1	1	0.35
Sapiens	Bopper	17	Aquatic	4	Surfaceair	1	5	0.5
Sapiens	Bopper	17	Amphibian	5	Surfaceair	1	3	0.25
Sapiens	Tank	18	Light Ground	1	Surfaceair	1	10	0
Sapiens	Tank	18	Heavy Ground	2	Surfaceair	1	10	0
Sapiens	Tank	18	Aerial	3	Surfaceair	1	0	0
Sapiens	Tank	18	Aquatic	4	Surfaceair	1	9	0
Sapiens	Tank	18	Amphibian	5	Surfaceair	1	10	0
Sapiens	Submarine	19	Light Ground	1	Surfaceair	1	5	0.15
Sapiens	Submarine	19	Heavy Ground	2	Surfaceair	1	5	0.3
Sapiens	Submarine	19	Aerial	3	Surfaceair	1	3	0.15
Sapiens	Submarine	19	Aquatic	4	Surfaceair	1	8	0.4
Sapiens	Submarine	19	Amphibian	5	Surfaceair	1	4	0.1
Sapiens	Helicopter	20	Light Ground	1	Surfaceair	1	12	0
Sapiens	Helicopter	20	Heavy Ground	2	Surfaceair	1	7	0
Sapiens	Helicopter	20	Aerial	3	Surfaceair	1	10	0
Sapiens	Helicopter	20	Aquatic	4	Surfaceair	1	8	0
Sapiens	Helicopter	20	Amphibian	5	Surfaceair	1	12	0
Sapiens	Battery	21	Light Ground	1	Surfaceair	1	10	0
Sapiens	Battery	21	Heavy Ground	2	Surfaceair	1	6	0
Sapiens	Battery	21	Aerial	3	Surfaceair	1	5	0
