UnittypeName	UnittypeNumber	TerrainName	TerrainNumber	MobilityCost	AttackBonus	DefenseBonus	MovementAllowed	Notes
Aerial	3	Base	15	4	0	0	1	
Aerial	3	Chasm	12	4	0	0	1	
Aerial	3	City	10	5	-2	-2	1	
Aerial	3	Desert	8	3	0	0	1	
Aerial	3	Forest	4	3	0	0	1	
Aerial	3	Harbor	2	3	0	0	1	
Aerial	3	Medical	5	3	0	0	1	
Aerial	3	Mountain	3	3	0	0	1	
Aerial	3	Plain	1	3	0	0	1	
Aerial	3	Road	6	3	0	0	1	
Aerial	3	Bridge	7	3	0	0	1	
Aerial	3	Reef	11	3	0	0	1	
Aerial	3	Swamp	9	3	0	0	1	
Aerial	3	Water	13	3	0	0	1	
Amphibian	5	Base	15	4	1	1	1	
Amphibian	5	City	10	5	-2	-2	1	
Amphibian	5	Ocean	14	4	-1	-1	1	
Amphibian	5	Desert	8	5	-3	-4	1	
Amphibian	5	Forest	4	4	1	1	1	
Amphibian	5	Harbor	2	3	1	1	1	
Amphibian	5	Medical	5	3	0	0	1	
Amphibian	5	Plain	1	3	0	0	1	
Amphibian	5	Road	6	3	0	-1	1	
Amphibian	5	Bridge	7	3	0	-1	1	
Amphibian	5	Reef	11	3	2	2	1	
Amphibian	5	Swamp	9	3	2	3	1	
Amphibian	5	Water	13	3	0	0	1	
Aquatic	4	Ocean	14	3	0	0	1	
Aquatic	4	Harbor	2	3	0	-1	1	
Aquatic	4	Bridge	7	4	0	-2	1	
Aquatic	4	Reef	11	5	-3	-4	1	
Aquatic	4	Water	13	3	0	0	1	
Heavy Ground	2	Base	15	4	0	-1	1	
Heavy Ground	2	City	10	5	-3	-3	1	
Heavy Ground	2	Desert	8	4	0	0	1	
Heavy Ground	2	Forest	4	6	0	-3	1	Exception battery cannot go here
Heavy Ground	2	Harbor	2	3	0	-1	1	
Heavy Ground	2	Medical	5	3	0	0	1	
Heavy Ground	2	Plain	1	3	0	0	1	
Heavy Ground	2	Road	6	2	0	-2	1	
Heavy Ground	2	Bridge	7	2	0	-2	1	
Heavy Ground	2	Swamp	9	6	-1	-2	1	Exception battery cannot go here
Light Ground	1	Base	15	4	2	2	1	
Light Ground	1	Chasm	12	6	-3	-4	1	
Light Ground	1	City	10	5	-2	-2	1	
Light Ground	1	Desert	8	5	-1	-1	1	
Light Ground	1	Forest	4	4	2	3	1	
Light Ground	1	Harbor	2	3	2	2	1	
Light Ground	1	Medical	5	3	0	0	1	
Light Ground	1	Mountain	3	6	2	4	1	
Light Ground	1	Plain	1	3	0	0	1	
Light Ground	1	Road	6	3	0	-1	1	
Light Ground	1	Bridge	7	3	0	-1	1	
Light Ground	1	Reef	11	6	-2	-3	1	
Light Ground	1	Swamp	9	6	-1	-2	1	
