hp,def tot,dmg
10,0.55,5
9,0.55,4.5
8,0.55,3.9
7,0.55,3.4
6,0.55,2.9
5,0.55,2.3
4,0.55,1.8
3,0.55,1.1
2,0.55,0.8
1,0.55,0
10,0.65,6
9,0.65,5.6
8,0.65,4.8
7,0.65,4.1
6,0.65,3.4
5,0.65,2.8
4,0.65,2.1
3,0.65,1.5
2,0.65,1
1,0.65,0
10,0.45,4
10,0.4,3.5
10,0.55,5
10,0.75,7
9,0.75,6.3
8,0.75,5.6
7,0.75,4.8
6,0.75,4
5,0.75,3.2
4,0.75,2.6
3,0.75,1.9
2,0.75,1
1,0.75,0
10,1,10
9,1,9
8,1,8
7,1,7
6,1,6
5,1,5
4,1,4
3,1,3
2,1,2
1,1,1
10,1,10
9,1,9
8,1,8
7,1,7
6,1,6
5,1,5
4,1,4
3,1,3
2,1,2
1,1,1
10,0.8,7.6
9,0.8,6.8
8,0.8,5.9
7,0.8,5.1
6,0.8,4.3
5,0.8,3.6
4,0.8,2.9
3,0.8,2
2,0.8,1
1,0.8,0.1
